,datetime,team1,team2,team1_code,team2_code,round,score1,score2,adj_score1,adj_score2,chances1,chances2,moves1,moves2,group,matchday
117,2017-04-18 14:45:00+00:00,Real Madrid,Bayern Munich,MAD,BMU,q,4,2,3.675,2.1,3.052,2.931,2.981,2.455,,
118,2017-04-19 14:45:00+00:00,Barcelona,Juventus,BAR,JUV,q,0,0,0.0,0.0,1.599,0.8200000000000001,4.66,0.838,,
119,2017-04-19 14:45:00+00:00,AS Monaco,Borussia Dortmund,MON,DOR,q,3,1,2.864,1.05,2.496,1.349,1.787,1.509,,
120,2017-05-02 14:45:00+00:00,Real Madrid,Atletico Madrid,MAD,ATL,s,3,0,2.682,0.0,2.661,0.195,1.637,0.53,,
121,2017-05-03 14:45:00+00:00,AS Monaco,Juventus,MON,JUV,s,0,2,0.0,2.1,1.9580000000000002,1.098,1.313,1.449,,
122,2017-05-09 14:45:00+00:00,Juventus,AS Monaco,JUV,MON,s,2,1,2.1,1.05,2.095,0.991,1.975,0.861,,
123,2017-05-10 14:45:00+00:00,Atletico Madrid,Real Madrid,ATL,MAD,s,2,1,2.1,1.05,1.717,2.073,1.174,2.1390000000000002,,
124,2017-06-03 14:45:00+00:00,Juventus,Real Madrid,JUV,MAD,f,1,4,1.05,3.6790000000000003,0.432,2.08,1.193,1.866,,
125,2017-09-12 18:45:00+00:00,Chelsea,FK Qarabag,CHE,QBG,g,6,0,,,,,,,C,
126,2017-09-12 18:45:00+00:00,Manchester United,Basel,MAN,BAS,g,3,0,2.798,0.0,3.187,0.532,2.166,0.54,A,
127,2017-09-12 18:45:00+00:00,Celtic,Paris Saint-Germain,CEL,PSG,g,0,5,0.0,4.549,0.267,2.407,0.492,2.14,B,
128,2017-09-12 18:45:00+00:00,AS Roma,Atletico Madrid,ROM,ATL,g,0,0,0.0,0.0,0.47300000000000003,2.495,1.119,2.017,C,
129,2017-09-12 18:45:00+00:00,Barcelona,Juventus,BAR,JUV,g,3,0,3.15,0.0,1.241,0.7020000000000001,1.104,1.142,D,
130,2017-09-12 18:45:00+00:00,Bayern Munich,Anderlecht,BMU,RSCA,g,3,0,2.105,0.0,4.052,0.861,3.623,0.601,B,
131,2017-09-12 18:45:00+00:00,Olympiacos,Sporting CP,OLY,SCP,g,2,3,2.1,3.15,1.249,2.298,1.412,0.744,D,
132,2017-09-12 18:45:00+00:00,Benfica,CSKA Moscow,BEN,CSKA,g,1,2,1.05,2.1,1.528,1.768,2.169,1.179,A,
133,2017-09-13 18:45:00+00:00,Liverpool,Sevilla FC,LIV,SEV,g,2,2,2.1,1.6800000000000002,2.499,1.267,2.332,0.74,E,
134,2017-09-13 18:45:00+00:00,Tottenham Hotspur,Borussia Dortmund,TOT,DOR,g,3,1,3.15,0.84,1.459,1.093,0.776,1.095,H,
135,2017-09-13 18:45:00+00:00,Real Madrid,Apoel Nicosia,MAD,NIC,g,3,0,3.15,0.0,4.514,0.192,2.534,0.263,H,
136,2017-09-13 18:45:00+00:00,NK Maribor,Spartak Moscow,MAR,SPM,g,1,1,1.05,1.05,0.9580000000000001,1.396,1.369,1.804,E,
137,2017-09-13 18:45:00+00:00,Shakhtar Donetsk,Napoli,SHK,NAP,g,2,1,2.1,1.05,1.5230000000000001,1.725,0.47600000000000003,1.593,F,
138,2017-09-13 18:45:00+00:00,FC Porto,Besiktas,POR,BES,g,1,3,1.05,2.755,1.585,0.85,2.616,0.787,G,
139,2017-09-13 18:45:00+00:00,Feyenoord,Manchester City,FEY,MNC,g,0,4,0.0,4.2,0.268,1.58,0.275,1.354,F,
140,2017-09-13 18:45:00+00:00,RB Leipzig,AS Monaco,RBL,MON,g,1,1,1.05,1.05,0.93,1.351,0.51,0.892,G,
141,2017-09-26 18:45:00+00:00,Apoel Nicosia,Tottenham Hotspur,NIC,TOT,g,0,3,0.0,3.15,1.018,2.165,1.117,0.717,H,
142,2017-09-26 18:45:00+00:00,Manchester City,Shakhtar Donetsk,MNC,SHK,g,2,0,1.599,0.0,3.36,0.499,1.51,0.42,F,
143,2017-09-26 18:45:00+00:00,Napoli,Feyenoord,NAP,FEY,g,3,1,3.15,1.05,1.097,1.4969999999999999,1.088,0.487,F,
144,2017-09-26 18:45:00+00:00,Borussia Dortmund,Real Madrid,DOR,MAD,g,1,3,1.05,2.925,1.223,3.399,1.584,1.803,H,
145,2017-09-26 18:45:00+00:00,Besiktas,RB Leipzig,BES,RBL,g,2,0,2.1,0.0,0.835,1.082,0.777,1.311,G,
146,2017-09-26 18:45:00+00:00,Spartak Moscow,Liverpool,SPM,LIV,g,1,1,1.05,1.05,0.11800000000000001,2.618,0.245,2.177,E,
147,2017-09-26 18:45:00+00:00,AS Monaco,FC Porto,MON,POR,g,0,3,0.0,2.658,0.6960000000000001,3.753,1.376,2.159,G,
148,2017-09-26 18:45:00+00:00,Sevilla FC,NK Maribor,SEV,MAR,g,3,0,2.8200000000000003,0.0,3.847,0.28600000000000003,3.541,0.317,E,
149,2017-09-27 16:00:00+00:00,FK Qarabag,AS Roma,QBG,ROM,g,1,2,1.05,2.1,0.751,1.788,0.708,2.031,C,
150,2017-09-27 18:45:00+00:00,Anderlecht,Celtic,RSCA,CEL,g,0,3,0.0,2.625,0.518,1.145,1.203,0.549,B,
151,2017-09-27 18:45:00+00:00,Juventus,Olympiacos,JUV,OLY,g,2,0,1.859,0.0,2.752,0.362,2.532,0.549,D,
152,2017-09-27 18:45:00+00:00,Atletico Madrid,Chelsea,ATL,CHE,g,1,2,1.05,2.1,1.459,2.293,0.439,2.103,C,
153,2017-09-27 18:45:00+00:00,Sporting CP,Barcelona,SCP,BAR,g,0,1,0.0,1.05,0.47800000000000004,0.797,1.071,1.635,D,
154,2017-09-27 18:45:00+00:00,CSKA Moscow,Manchester United,CSKA,MAN,g,1,4,1.05,4.2,0.514,3.832,0.937,1.915,A,
155,2017-09-27 18:45:00+00:00,Paris Saint-Germain,Bayern Munich,PSG,BMU,g,3,0,3.15,0.0,1.994,1.052,1.05,2.301,B,
156,2017-09-27 18:45:00+00:00,Basel,Benfica,BAS,BEN,g,5,0,4.074,0.0,3.148,0.579,0.6990000000000001,0.795,A,
157,2017-10-17 18:45:00+00:00,Apoel Nicosia,Borussia Dortmund,NIC,DOR,g,1,1,1.05,1.05,0.8159999999999991,1.7069999999999999,1.208,1.955,H,
158,2017-10-17 18:45:00+00:00,Manchester City,Napoli,MNC,NAP,g,2,1,2.1,1.05,2.457,2.209,1.443,0.9490000000000001,F,
159,2017-10-17 18:45:00+00:00,Real Madrid,Tottenham Hotspur,MAD,TOT,g,1,1,1.05,1.05,3.412,0.9460000000000001,2.36,1.105,H,
160,2017-10-17 18:45:00+00:00,NK Maribor,Liverpool,MAR,LIV,g,0,7,0.0,6.423,0.376,4.014,0.641,3.5300000000000002,E,
161,2017-10-17 18:45:00+00:00,Spartak Moscow,Sevilla FC,SPM,SEV,g,5,1,4.644,1.05,1.348,1.47,1.436,1.823,E,
162,2017-10-17 18:45:00+00:00,AS Monaco,Besiktas,MON,BES,g,1,2,1.05,2.1,0.669,1.415,1.189,1.028,G,
163,2017-10-17 18:45:00+00:00,Feyenoord,Shakhtar Donetsk,FEY,SHK,g,1,2,0.84,2.1,1.76,1.073,0.881,1.3519999999999999,F,
164,2017-10-17 18:45:00+00:00,RB Leipzig,FC Porto,RBL,POR,g,3,2,3.15,2.1,2.254,0.9550000000000001,1.413,1.541,G,
165,2017-10-18 16:00:00+00:00,FK Qarabag,Atletico Madrid,QBG,ATL,g,0,0,0.0,0.0,0.334,1.913,0.627,1.812,C,
166,2017-10-18 18:45:00+00:00,Anderlecht,Paris Saint-Germain,RSCA,PSG,g,0,4,0.0,3.741,1.09,3.449,0.966,1.879,B,
167,2017-10-18 18:45:00+00:00,Chelsea,AS Roma,CHE,ROM,g,3,3,3.15,3.15,1.846,1.701,1.234,1.332,C,
168,2017-10-18 18:45:00+00:00,Juventus,Sporting CP,JUV,SCP,g,2,1,2.1,1.05,1.855,0.509,2.673,0.709,D,
169,2017-10-18 18:45:00+00:00,Barcelona,Olympiacos,BAR,OLY,g,3,1,3.15,0.84,4.289,0.176,3.791,0.198,D,
170,2017-10-18 18:45:00+00:00,Bayern Munich,Celtic,BMU,CEL,g,3,0,3.15,0.0,3.578,0.549,4.09,0.751,B,
171,2017-10-18 18:45:00+00:00,Benfica,Manchester United,BEN,MAN,g,0,1,0.0,0.84,1.1440000000000001,0.453,0.972,0.6950000000000001,A,
172,2017-10-18 18:45:00+00:00,CSKA Moscow,Basel,CSKA,BAS,g,0,2,0.0,1.577,0.375,1.066,1.663,0.8190000000000001,A,
173,2017-10-31 19:45:00+00:00,Manchester United,Benfica,MAN,BEN,g,2,0,1.9,0.0,2.829,1.044,1.322,0.918,A,
174,2017-10-31 19:45:00+00:00,Celtic,Bayern Munich,CEL,BMU,g,1,2,1.05,2.1,1.211,0.72,1.069,0.763,B,
175,2017-10-31 19:45:00+00:00,AS Roma,Chelsea,ROM,CHE,g,3,0,3.15,0.0,1.405,1.438,1.12,1.827,C,
176,2017-10-31 19:45:00+00:00,Atletico Madrid,FK Qarabag,ATL,QBG,g,1,1,1.05,1.05,3.134,0.10400000000000001,3.697,0.45,C,
177,2017-10-31 19:45:00+00:00,Olympiacos,Barcelona,OLY,BAR,g,0,0,0.0,0.0,0.307,2.452,0.44,2.118,D,
